payment_id,trip_id,payment_method
1,2,UPI
2,3,UPI
3,4,UPI
4,5,Card
5,6,Card
6,7,UPI
7,8,Card
8,9,UPI
9,10,Card
10,11,UPI
11,12,Card
12,13,Cash
13,14,Cash
14,17,UPI
15,18,Cash
16,20,UPI
17,21,Wallet
18,22,UPI
19,23,Cash
20,24,Cash
21,26,Card
22,27,UPI
23,28,Wallet
24,29,UPI
25,30,Wallet
26,31,UPI
27,32,UPI
28,33,Cash
29,34,Card
30,35,Card
31,36,UPI
32,37,UPI
33,38,UPI
34,39,UPI
35,40,UPI
36,42,UPI
37,43,UPI
38,44,UPI
39,45,UPI
40,46,Card
41,47,Cash
42,49,UPI
43,50,Card
44,51,Card
45,53,Wallet
46,54,UPI
47,55,UPI
48,56,UPI
49,57,Wallet
50,59,Cash
51,61,Cash
52,62,Cash
53,63,Card
54,64,UPI
55,65,UPI
56,67,Cash
57,68,UPI
58,69,Card
59,70,Card
60,71,UPI
61,72,UPI
62,73,Cash
63,74,UPI
64,75,Card
65,76,Cash
66,77,UPI
67,78,UPI
68,79,Cash
69,80,Card
70,81,Card
71,82,Cash
72,83,UPI
73,84,Card
74,85,Card
75,86,Cash
76,87,UPI
77,88,UPI
78,89,UPI
79,91,Cash
80,92,Cash
81,93,Cash
82,94,Cash
83,95,UPI
84,96,UPI
85,98,UPI
86,99,UPI
87,100,UPI
88,101,UPI
89,102,Cash
90,103,Card
91,104,UPI
92,106,Card
93,107,UPI
94,108,UPI
95,109,UPI
96,110,UPI
97,111,Wallet
98,112,Card
99,113,Card
100,114,UPI
101,116,Card
102,117,Cash
103,119,UPI
104,120,UPI
105,121,UPI
106,122,UPI
107,123,Card
108,124,Cash
109,126,UPI
110,127,UPI
111,128,Wallet
112,129,UPI
113,130,Cash
114,131,UPI
115,134,UPI
116,135,UPI
117,137,UPI
118,138,Card
119,139,UPI
120,140,UPI
121,141,Card
122,142,UPI
123,143,Wallet
124,144,Wallet
125,145,Card
126,146,UPI
127,147,Cash
128,148,UPI
129,150,UPI
130,151,UPI
131,152,UPI
132,153,Card
133,154,UPI
134,155,Cash
135,156,UPI
136,157,UPI
137,158,UPI
138,159,UPI
139,160,UPI
140,161,UPI
141,162,Card
142,163,Wallet
143,164,Wallet
144,165,UPI
145,166,UPI
146,167,UPI
147,168,Cash
148,169,UPI
149,170,UPI
150,171,UPI
151,172,UPI
152,173,UPI
153,174,Cash
154,175,Card
155,176,Card
156,178,Wallet
157,179,UPI
158,180,UPI
159,181,UPI
160,182,Cash
161,183,Card
162,184,Card
163,185,UPI
164,186,Cash
165,187,Card
166,188,UPI
167,189,UPI
168,190,Card
169,191,Cash
170,192,Cash
171,193,Wallet
172,194,Wallet
173,195,Wallet
174,196,Card
175,197,Cash
176,198,UPI
177,199,Card
178,200,UPI
179,201,UPI
180,202,UPI
181,203,UPI
182,204,Card
183,205,Wallet
184,206,UPI
185,207,Wallet
186,208,UPI
187,209,UPI
188,210,Cash
189,211,Card
190,212,UPI
191,213,Card
192,214,UPI
193,215,UPI
194,216,UPI
195,217,Cash
196,218,Cash
197,219,UPI
198,220,Wallet
199,221,Cash
200,222,Cash
201,223,UPI
202,224,UPI
203,225,UPI
204,226,UPI
205,227,UPI
206,228,Card
207,229,Card
208,230,Cash
209,231,UPI
210,232,Wallet
211,233,UPI
212,234,UPI
213,235,Cash
214,237,Wallet
215,239,Cash
216,240,UPI
217,241,UPI
218,243,UPI
219,244,Wallet
220,245,UPI
221,246,Wallet
222,247,Cash
223,248,Card
224,249,Cash
225,251,UPI
226,252,UPI
227,253,Card
228,254,Wallet
229,255,Wallet
230,256,UPI
231,257,Cash
232,258,Card
233,259,Card
234,260,UPI
235,261,Card
236,262,UPI
237,263,Wallet
238,265,Cash
239,266,UPI
240,268,UPI
241,269,Wallet
242,270,Card
243,271,Wallet
244,272,Card
245,273,Cash
246,274,Card
247,275,Card
248,276,Cash
249,278,UPI
250,279,UPI
251,280,Wallet
252,281,UPI
253,282,Cash
254,283,Card
255,284,Cash
256,285,UPI
257,286,UPI
258,288,UPI
259,290,UPI
260,292,UPI
261,293,UPI
262,294,Cash
263,295,UPI
264,296,UPI
265,298,Wallet
266,299,UPI
267,300,UPI
268,301,UPI
269,302,UPI
270,303,Card
271,304,UPI
272,305,UPI
273,306,Cash
274,307,UPI
275,308,Card
276,309,Wallet
277,310,UPI
278,311,UPI
279,313,Cash
280,314,Card
281,315,Card
282,317,Card
283,318,UPI
284,319,Wallet
285,320,UPI
286,321,UPI
287,322,UPI
288,323,UPI
289,324,Wallet
290,325,UPI
291,326,UPI
292,327,UPI
293,328,UPI
294,329,Cash
295,330,UPI
296,331,Wallet
297,332,Card
298,333,UPI
299,335,Card
300,336,Cash
301,338,Card
302,339,UPI
303,340,UPI
304,341,Cash
305,342,UPI
306,343,Card
307,344,Wallet
308,345,UPI
309,346,Card
310,347,UPI
311,348,Cash
312,350,UPI
313,351,Cash
314,352,UPI
315,353,UPI
316,354,Cash
317,355,Card
318,356,UPI
319,357,Cash
320,358,UPI
321,359,Cash
322,360,Cash
323,361,UPI
324,362,Card
325,363,UPI
326,364,Cash
327,365,Wallet
328,366,UPI
